STATION_ID,NAME,SIGMA_ASQ,PHI (A),NUGGET,RMSE,NORTHING (Y),EASTING (X),DRNAREA
0142400103,Trout Creek near Trout Creek  NY,0.0024692,170.924,0142400103,,361284.2676,225495.4097,20.2
01420500,Beaver Kill at Cooks Falls  NY,0.0021544,137.693,01420500,,333092.0977,267897.4675,242
01423000,WBr Delaware River at Walton  NY,0.0033048,137.693,01423000,,369951.3885,257618.8194,332
01426000,Oquaga Creek at Deposit  NY,0.0039358,162.627,01426000,,347920.3116,208016.6128,67.7
01428750,West Branch Lackawaxen River near Aldenville  PA,0.0064399,63.7327,01428750,,306698.0236,215247.1315,40.6
01439500,Bush Kill at Shoemakers  PA,0.0070831,57.4021,01439500,,249825.5966,243340.511,117
01440400,Brodhead Creek near Analomink  PA,0.008866,72,01440400,,246465.575,231223.871,65.9
01442500,Brodhead Creek at Minisink Hills  PA,0.0079336,94.7934,01442500,,233588.9197,228089.1969,259
01447500,Lehigh River at Stoddartsville  PA,0.0075361,68.3298,01447500,,248379.1793,205965.5803,91.7
01447720,Tobyhanna Creek near Blakeslee  PA,0.0089641,78.2797,01447720,,238659.9486,212314.2696,118
01448500,Dilldown Creek near Long Pond  PA,0.010039,122.278,01448500,,228497.9003,208302.6619,2.39
01449360,Pohopoco Creek at Kresgeville  PA,0.008832,120.007,01449360,,219318.4927,213026.3468,49.9
01450500,Aquashicola Creek at PAlmerton  PA,0.0082498,95.434,01450500,,209752.8047,215655.417,76.7
01451500,Little Lehigh Creek near Allentown  PA,0.011613,100,01451500,,172642.7241,203035.2865,80.8
01451800,Jordan Creek near Schnecksville  PA,0.010465,120,01451800,,187111.7406,195304.6374,53
01452000,Jordan Creek at Allentown  PA,0.0095897,120,01452000,,185875.524,197900.1949,75.8
01452500,Monocacy Creek at Bethlehem  PA,0.0086849,58.431,01452500,,193781.9461,222048.8625,44.5
01459500,Tohickon Creek near Pipersville  PA,0.0084433,34.1225,01459500,,164635.6503,232249.3321,97.4
01464907,Little Neshaminy Creek at Valley Rd  PA,0.009251,135.52,01464907,,139397.2685,239861.5363,26.8
01467048,Pennypack Creek at Lower Rhawn St Brdg  Philadelphia  PA,0.012084,152.133,01467048,,130174.6111,248469.2988,49.8
01468500,Schuylkill River at Landingville  PA,0.0051609,84.7779,01468500,,191582.3682,152550.1809,133
01470500,Schuylkill River at Berne  PA,0.0058279,69.8098,01470500,,190431.5358,161052.5284,355
01470756,Maiden Creek at Virginville  PA,0.0057676,70,01470756,,179417.1952,184558.5177,159
01470779,Tulpehocken Creek near Bernville  PA,0.005529,92.3245,01470779,,152216.1585,147495.0198,66.5
01471000,Tulpehocken Creek near Reading  PA,0.0036723,70.4866,01471000,,156102.9075,156175.0788,211
01471980,Manatawny Creek near Pottstown  PA,0.0050435,105,01471980,,155414.143,193052.2346,85.5
01472000,Schuylkill River at Pottstown  PA,0.0050301,77.557,01472000,,169296.1945,170847.0575,1147
01472157,French Creek near Phoenixville  PA,0.0072539,149.438,01472157,,131708.2189,193768.6635,59.1
01472174,Pickering Creek near Chester Springs  PA,0.008667,155,01472174,,122743.8887,199694.5045,5.98
01472198,Perkiomen Creek at East Greenville  PA,0.0035219,60.0116,01472198,,164351.1561,209262.3637,38
01472199,West Branch Perkiomen Creek at Hillegass  PA,0.0038843,70,01472199,,159761.5883,203604.4873,23
01473120,Skippack Creek near Collegeville  PA,0.0065986,35,01473120,,140158.1206,224680.2894,53.7
01475510,Darby Creek near Darby  PA,0.012336,141.409,01475510,,114106.055,224919.1984,37.4
01475850,Crum Creek near Newtown Square  PA,0.010308,136.664,01475850,,115196.2398,216001.8105,15.8
01479820,Red Clay Creek near Kennett Square  PA,0.01064,125.744,01479820,,97019.316,195062.3817,28.3
01480300,West Branch Brandywine Creek near Honey Brook  PA,0.0060356,105,01480300,,122692.1692,178145.0762,18.7
01480675,Marsh Creek near Glenmoore  PA,0.0059873,82.5937,01480675,,127072.7299,190262.6901,8.57
01481000,Brandywine Creek at Chadds Ford  PA,0.0060657,102,01481000,,113099.8697,190511.2225,287
01514000,Owego Creek near Owego  NY,0.0014548,90,01514000,,370225.1537,146471.208,185
01516500,Corey Creek near Mainesburg  PA,0.0018423,84.0925,01516500,,308000.6816,85674.0402,12.2
01517000,Elk Run near Mainesburg  PA,0.0021014,110,01517000,,309885.5984,89787.4728,10.2
01518500,Crooked Creek at Tioga  PA,0.0021678,100.823,01518500,,316863.9331,58619.6871,122
01518862,Cowanesque River at Westfield  PA,0.0016841,103.424,01518862,,324980.0431,31628.9456,90.6
01520000,Cowanesque River near Lawrenceville  PA,0.0027222,125,01520000,,329816.7514,42997.7927,298
01525500,Canisteo River at West Cameron  NY,0.0020201,104.333,01525500,,364247.2317,27506.2915,340
01529500,Cohocton River near Campbell  NY,0.0027539,131.614,01529500,,380211.7546,53808.5432,470
01530500,Newtown Creek at Elmira  NY,0.0028844,122.236,01530500,,354829.4797,103346.8462,77.5
01532000,Towanda Creek near Monroeton  PA,0.0019337,108.764,01532000,,295782.0257,112726.2344,215
01532850,MB Wyalusing Creek near Birchardville  PA,0.0029212,105,01532850,,322032.525,167376.4073,5.67
01533950,SB Tunkhannock Creek near Montdale  PA,0.0071413,73,01533950,,286427.206,199334.0525,12.6
01534000,Tunkhannock Creek near Tunkhannock  PA,0.0046127,60,01534000,,300576.9022,191662.9033,383
01538000,Wapwallopen Creek near Wapwallopen  PA,0.0049927,65,01538000,,236546.7473,172311.8864,43.8
01539000,Fishing Creek near Bloomsburg  PA,0.0058929,46,01539000,,249734.9401,138975.2851,274
01541000,West Branch Susquehanna River at Bower  PA,0.0033596,61,01541000,,193914.8184,-62677.5789,315
01541308,Bradley Run near Ashville  PA,0.0057801,100,01541308,,165105.2183,-47461.886,6.77
01542500,WestBr. Susquehanna River at Karthaus  PA,0.0023845,62,01542500,,209374.7732,-38511.4182,1462
01542810,Waldy Run near Emporium  PA,0.008477,127.883,01542810,,290040.2856,-24004.1939,5.24
01543000,Driftwood Br Sinnemahoning Creek at Sterling Run  PA,0.0058021,70,01543000,,281376.1024,-24452.404,272
01543500,Sinnemahoning Creek at Sinnemahoning  PA,0.0049042,82,01543500,,266980.6174,-29984.9677,685
01544500,Kettle Creek at Cross Fork  PA,0.0044635,67,01544500,,287432.2599,23409.243,136
01545600,Young Womans Creek near Renovo  PA,0.0034527,77.8667,01545600,,274056.5031,30214.3521,46.2
01546400,Spring Creek at Houserville  PA,0.010776,140.906,01546400,,198366.4197,18080.2817,58.5
01546500,Spring Creek near Axemann  PA,0.010948,117.806,01546500,,199876.5803,16164.43,87.2
01547100,Spring Creek at Milesburg  PA,0.01105,119.985,01547100,,202978.6515,15897.9395,142
01547200,Bald Eagle Creek below Spring Creek at Milesburg  PA,0.0043959,124.386,01547200,,205683.3499,9770.5109,265
01547700,Marsh Creek at Blanchard  PA,0.002813,45,01547700,,227120.3864,21510.8984,44.1
01547950,Beech Creek at Monument  PA,0.0044852,100,01547950,,233900.4771,12695.3805,152
01548005,Bald Eagle Creek near Beech Creek Station  PA,0.0023138,78.3143,01548005,,218104.3377,14448.2445,562
01548500,Pine Creek at Cedar Run  PA,0.0041136,93,01548500,,301164.1573,40793.038,604
01549500,Blockhouse Creek near English Center  PA,0.0042145,100,01549500,,279535.2786,72088.7896,37.7
01549700,Pine Creek below Little Pine Creek near Waterville  PA,0.0043325,101,01549700,,291143.4098,45485.9201,944
01549780,Larrys Creek at Cogan House  PA,0.0039948,98,01549780,,270323.3781,71873.7334,6.8
01550000,Lycoming Creek near Trout Run  PA,0.0046394,101,01550000,,281519.4501,87373.5414,173
01552000,Loyalsock Creek at Loyalsockville  PA,0.0028417,135,01552000,,274584.7243,116533.0731,435
01552500,Muncy Creek near Sonestown  PA,0.0070167,85,01552500,,264810.37,128294.9568,23.8
01553130,Sand Spring Run near White Deer  PA,0.0031942,95,01553130,,228397.7311,74660.4376,4.93
01555000,Penns Creek at Penns Creek  PA,0.0024693,97,01555000,,207888.988,48861.031,301
01555500,East Mahantango Creek near Dalmatia  PA,0.0045233,41,01555500,,185537.6115,118063.4788,162
01556000,Frankstown Br. Juniata River at Williamsburg  PA,0.0029076,78,01556000,,155979.7371,-34567.3665,291
01557500,Bald Eagle Creek at Tyrone  PA,0.0028362,45,01557500,,193463.3818,-17923.4914,44.1
01558000,Little Juniata River at Spruce Creek  PA,0.003407,97,01558000,,182361.0065,-24691.2198,220
01559000,Juniata River at Huntingdon  PA,0.0032468,96,01559000,,170973.4812,-21473.8632,816
01559700,Sulphur Springs Creek near Manns Choice  PA,0.0045178,106,01559700,,106841.4178,-51515.8074,5.28
01560000,Dunning Creek at Belden  PA,0.0034544,61,01560000,,131272.1099,-49726.3776,172
01562000,Raystown Branch Juniata River at Saxton  PA,0.0055403,125,01562000,,118987.8165,-39925.2523,756
01564500,Aughwick Creek near Three Springs  PA,0.0032824,81,01564500,,123945.3029,-934.5484,205
01565000,Kishacoquillas Creek at Reedsville  PA,0.0029329,106,01565000,,187892.1791,34142.6312,164
01565700,Little Lost Creek at Oakland Mills  PA,0.002911,82.5194,01565700,,181405.7581,61697.7753,6.52
01566000,Tuscarora Creek near Port Royal  PA,0.0022886,70,01566000,,150890.0884,31405.0395,214
01567500,Bixler Run near Loysville  PA,0.0027653,85,01567500,,154212.9353,47469.3833,15
01568000,Sherman Creek at Shermans Dale  PA,0.0033883,75,01568000,,146623.962,50347.5256,207
01570000,Conodoguinet Creek near Hogestown  PA,0.0040437,98.8444,01570000,,127527.2823,48251.4886,470
01571500,Yellow Breeches Creek near Camp Hill  PA,0.0022878,94,01571500,,123246.0599,71118.3196,216
01574500,Codorus Creek at Spring Grove  PA,0.0043864,112.648,01574500,,89997.4328,94702.1723,75.5
01576754,Conestoga River at Conestoga  PA,0.0034441,78,01576754,,128655.8065,154408.4482,470
01578400,Bowery Run near Quarryville  PA,0.0083977,96,01578400,,103008.9659,160723.6515,5.98
01603500,Evitts Creek near Centerville  PA,0.0055048,124,01603500,,94925.3989,-53050.3045,30.2
01609000,Town Creek near Oldtown  MD,0.0066371,120,01609000,,82720.0063,-45773.8013,148
01610155,Sideling Hill Creek at Bellegrove  MD,0.0063686,120,01610155,,86690.5318,-29897.6164,102
01613050,Tonoloway Creek near Needmore  PA,0.0048864,97,01613050,,102530.3579,-14339.7414,10.7
01614090,Conococheague Creek near Fayetteville  PA,0.0031057,117.702,01614090,,105783.0771,49871.1328,5.05
01614500,Conococheague Creek at Fairview  MD,0.0038793,105,01614500,,101809.3969,22439.7372,494
01639000,Monocacy Creek at Bridgeport  MD,0.0040036,113,01639000,,90459.3297,64499.9729,173
03007800,Allegheny River at Port Allegany  PA,0.010344,156.076,03007800,,309274.3732,-9035.99,248
03009680,Potato Creek at Smethport  PA,0.013697,120,03009680,,302202.6432,-36823.5492,160
03010500,Allegheny River at Eldred  PA,0.0077009,132.954,03010500,,309829.3127,-23128.5375,550
03010655,Oswayo Creek at Shinglehouse  PA,0.0037445,139.329,03010655,,323899.3078,-4157.0327,98.7
03011020,Allegheny River at Salamanca  NY,0.0026213,125,03011020,,332197.6893,-30410.3402,1608
03011800,Kinzua Creek near Guffey  PA,0.0050265,130.363,03011800,,308132.1153,-51655.6313,38.8
03013000,Conewango Creek at Waterboro  NY,0.0036368,116,03013000,,365108.4374,-85967.1497,290
03015280,Jackson Run near North Warren  PA,0.0038212,125,03015280,,326110.2374,-107062.4787,12.8
03015500,Brokenstraw Creek at Youngsville  PA,0.0034304,109.601,03015500,,325546.2183,-125324.3683,321
03017500,Tionesta Creek at Lynch  PA,0.002916,110.863,03017500,,299706.0147,-84416.5896,233
03020500,Oil Creek at Rouseville  PA,0.0024269,87,03020500,,302821.846,-139316.2868,300
03021350,French Creek near Wattsburg  PA,0.005109,118,03021350,,344218.9065,-136845.1594,92
03021500,French Creek at Carters Corners  PA,0.003878,119.956,03021500,,342802.5526,-143755.738,208
03022540,Woodcock Creek at Blooming Valley  PA,0.0063453,130,03022540,,299552.8199,-164670.236,31.1
03024000,French Creek at Utica  PA,0.0037279,155,03024000,,314724.4865,-165042.9611,1028
03025000,Sugar Creek at Sugarcreek  PA,0.0024884,75,03025000,,286129.365,-155375.5731,166
03026500,Sevenmile Run near Rasselas  PA,0.0090106,126.277,03026500,,295770.6065,-50598.5941,7.84
03028000,West Branch Clarion River at Wilcox  PA,0.0074547,124.434,03028000,,293620.6482,-58327.1024,63
03029400,Toms Run at Cooksburg  PA,0.0053391,132.651,03029400,,264599.4448,-103243.8826,12.6
03031950,Big Run near Sprankle Mills  PA,0.0073214,110,03031950,,220482.3617,-89432.856,7.38
03032500,Redbank Creek at St. Charles  PA,0.0054881,96,03032500,,236802.7255,-85249.4222,528
03038000,Crooked Creek at Idaho  PA,0.0037,80,03038000,,190898.69,-100338.449,191
03039200,Clear Run near Buckstown  PA,0.0052713,115,03039200,,115826.8859,-68952.6795,3.68
03039925,North Fork Bens Creek at North Fork Reservoir  PA,0.0054791,90,03039925,,141397.9171,-88821.2993,3.45
03041000,Little Conemaugh River at East Conemaugh  PA,0.0028084,71,03041000,,153002.0026,-60459.4137,186
03042200,Little Yellow Creek near Strongstown  PA,0.0053135,80,03042200,,176020.0581,-77489.4656,7.36
03049000,Buffalo Creek near Freeport  PA,0.0036648,55,03049000,,207167.5586,-142877.121,137
03049800,Little Pine Creek near Etna  PA,0.0031722,97,03049800,,173544.7468,-162532.4115,5.78
03062500,Deckers Creek at Morgantown  WV,0.0093651,173.503,03062500,,63830.0483,-158657.6497,63.2
03070500,Big Sandy Creek at Rockville  WV,0.0065012,115.487,03070500,,79202.6322,-138772.2042,200
03072590,Georges Creek at Smithfield  PA,0.0043043,120.762,03072590,,92895.7168,-149165.7724,16.3
03072840,Tenmile Creek near Clarksville  PA,0.0045553,89.1768,03072840,,119971.382,-186934.2039,133
03073000,South Fork Tenmile Creek at Jefferson  PA,0.0027461,92,03073000,,103637.3791,-191906.9215,180
03074300,Lick Run at Hopwood  PA,0.0056031,100,03074300,,96025.6608,-143236.6955,3.8
03078000,Casselman River at Grantsville  MD,0.0034812,96,03078000,,72232.6934,-102766.2111,62.5
03079000,Casselman River at Markleton  PA,0.0029021,97.9962,03079000,,92065.4448,-93574.6048,382
03080000,Laurel Hill Creek at Ursina  PA,0.0037889,94.5488,03080000,,109168.1949,-108391.9992,121
03082200,Poplar Run near Normalville  PA,0.0053079,102.823,03082200,,116876.8594,-124025.6548,9.27
03084000,Abers Creek near Murrysville  PA,0.0033792,81.7632,03084000,,164891.3295,-145304.056,4.39
03085956,Montour Run at Scott Station near Imperial  PA,0.011022,120,03085956,,165846.6875,-189796.7112,25.4
03092000,Kale Creek near Pricetown  OH,0.0045749,125,03092000,,236595.1423,-255406.8333,21.9
03093000,Eagle Creek at Phalanx Station  OH,0.0057517,129.116,03093000,,256713.6561,-257746.4243,97.6
03102500,Little Shenango River at Greenville  PA,0.0055083,120,03102500,,275123.2335,-191669.699,104
03102950,Pymatuning Creek at Kinsman  OH,0.0051946,111.739,03102950,,280755.1385,-220386.5016,96.7
03103000,Pymatuning Creek near Orangeville  PA,0.0019035,97,03103000,,276017.3577,-216965.5729,169
03106000,Connoquenessing Creek near Zelienople  PA,0.0041405,74,03106000,,204419.1721,-166997.94,356
03106500,Slippery Rock Creek at Wurtemburg  PA,0.0026274,88,03106500,,232070.7057,-170689.5047,398
03109500,Little Beaver Creek near East Liverpool  OH,0.0070731,75,03109500,,204437.8717,-225481.4284,496
03110000,Yellow Creek near Hammondsville  OH,0.0042818,63,03110000,,171577.0799,-244488.8853,147
03111150,Brush Run near Buffalo  PA,0.0027423,83,03111150,,137912.2318,-201418.2434,10.3
03111500,Short Creek near Dillonvale  OH,0.0060856,128,03111500,,142312.8559,-245496.2382,123
04213000,Conneaut Creek at Conneaut  OH,0.005262,125,04213000,,316637.6274,-201390.8298,175
04213075,Brandy Run near Girard  PA,0.0083795,125,04213075,,335806.3256,-186605.9601,4.45